persons,reference,pred.score
person1,bad,0.0885431715287268
person2,bad,0.684863070724532
person3,bad,0.721046450547874
person4,good,0.660316071007401
person5,bad,0.905134253203869
person6,bad,0.841867836425081
person7,good,0.396519389003515
person8,good,0.317679058760405
person9,good,0.510395984398201
person10,good,0.776803408749402
person11,good,0.961490698391572
person12,bad,0.376946086296812
person13,good,0.106490929378197
person14,bad,0.306649333564565
person15,good,0.785273118177429
person16,good,0.19893313315697
person17,bad,0.681856071809307
person18,bad,0.553935491945595
person19,good,0.830488300183788
person20,good,0.91600214317441
person21,good,0.537402551388368
person22,good,0.264195964904502
person23,good,0.671651183627546
person24,good,0.971956592751667
person25,good,0.206522283144295
person26,bad,0.89717737166211
person27,good,0.20539969438687
person28,bad,0.426990252221003
person29,bad,0.310745787108317
person30,good,0.105902871582657
person31,good,0.438681880943477
person32,bad,0.539858566131443
person33,good,0.507592748850584
person34,good,0.738366770558059
person35,good,0.630654342472553
person36,good,0.479457515757531
person37,good,0.32073658448644
person38,bad,0.2364387572743
person39,bad,0.690185795305297
